id,url,gap_type,missed_year,missed_year_context,missed_mileage,missed_mileage_context,missed_fuel,missed_fuel_context,extracted_year,extracted_mileage,extracted_fuel
50,https://auto.bazos.cz/inzerat/216146028/mazda-cx5-22d-129kw-awd-4x4-skyactive-model-2013.php,mileage,,,129000,Mazda CX5 2.2D 129kw AWD 4x4 Skyactive Model 2013,,,2013,,
54,https://auto.bazos.cz/inzerat/216143403/mazda-cx5-2015-22d-skyactiv-fwd.php,mileage,,,152150,evodovka.Najeto doložitelných 152.150km. Pravidelně servisované auto.,,,2015,,
58,https://auto.bazos.cz/inzerat/216164842/mazda-cx-5-20i-121kw-4x4-1majitel-90000km-servis-mazda.php,year,2022,iteli v Německu.Rok výroby 01/2022 provoz 02/2022Stav tachometru,,,,,,80000,
60,https://auto.bazos.cz/inzerat/216131493/mazda-6-25-143kw-skyactive-2020.php,mileage,,,143000,"Mazda 6 2.5 143kw Skyactive 2020 (Takumi)
Prod",,,2020,,
61,https://auto.bazos.cz/inzerat/216120515/mazda-6-20i-114kw2011kuzevyhrevydigiklimaservibez-rzi.php,"year,mileage",2011,"MAZDA 6 2.0i 114KW,2011,KŮŽE,VÝHŘEV,DIGIKLIMA,SERVIS,",193500," 6ti stupňováRok: 2011Najeto: 193.500km, PÍSEMNÁ záruka na najeté km ",,,,,
64,https://auto.bazos.cz/inzerat/216115472/mazda-cx-5-20-skyactiv-121kw-1majitel-r2014.php,year,2014,".0 Skyactiv 121kW 1.majitel r.2014
Prodám Mazda CX-5 2.0 benzin ",,,,,,145000,benzín
66,https://auto.bazos.cz/inzerat/215703611/mazda-2-13i-55kwrok-2010177tkmservis-knizkanova-stk.php,mileage,,,55000,"Mazda 2 1.3i 55kw,Rok 2010,177tkm,Servis Knížk",,,2010,,
67,https://auto.bazos.cz/inzerat/216096279/mazda-2-13i-klima-model-2010.php,mileage,,,121000,"010
Mazda 2 1.3i r.v.2010 naj 121tis servisní kniha,servis mazda,p",,,2010,,
69,https://auto.bazos.cz/inzerat/215600449/mazda-cx-5-20-benzin-160ps-4x4-revolution-rok-2018-nove-cz.php,mileage,,,185294,"ajitelů: První majitelNajeto: 185.294 km, řádně servisovánoPohon: 4x4V",,,2018,,benzín
70,https://auto.bazos.cz/inzerat/215427654/mazda-6-22-d-skyactive-110kwrok-042015-cervena-metaliza.php,"year,mileage",2015," 2.2 D Skyactive 110kW,rok 04.2015,1. Majitel
Prodám Mazda 6 2.2",185000,lní převodovkaStav tachometru 185000 kmVýbava:Asistent mrtvého úhluAu,,,,,
81,https://auto.bazos.cz/inzerat/216007246/mazda-mx-5.php,mileage,,,109000,2001První registrace 25.7.2001109.000kmDOVOZ NĚMECKOVIN NA FOTO - ZJI,,,2001,,
82,https://auto.bazos.cz/inzerat/215909317/mazda-6-2015-22-diesel-6mt.php,mileage,,,241000,"letně repasovaný, vyměněn při 241 tis. km, zpracovaný pro záběh (24",,,2015,,diesel
84,https://auto.bazos.cz/inzerat/215958816/mazda-cx-5-20-121kw-advantage-rv012022-naviledhead-up.php,year,2022,"5 2.0 121kW AD´VANTAGE r.v.01/2022 NAVI,LED,HEAD UP
MAZDA CX-5 2",,,,,,72300,
85,https://auto.bazos.cz/inzerat/215692464/mazda-3-sedan-20-skyactiv-g-132-kw.php,"year,mileage",2019," náš vůz Mazda 3 sedan r.v. 9.2019, se silným, ale úsporným moto",132000,"Mazda 3 sedan 2.0 Skyactiv-X 132 kW
Dobrý den,nabízím k prodeji ",,,,,
87,https://auto.bazos.cz/inzerat/215690528/mazda-6-gh-22-136-kw.php,"year,mileage",2009,"136 KW, Naftový motor, ročník 2009. Jedná se o nejvýkonnější naf",136000,"Mazda 6 (GH) 2.2, 136 KW
Mazda 6 (GH) 2.2, 136 KWProd",,,,,
88,https://auto.bazos.cz/inzerat/215683137/prodam-mazdu-cx-9-37i-awd-2015.php,mileage,,,8000,"vozku každý rok, oleje: Motor 8000km, převodovka, rozvodovka a dif",,,2015,,
89,https://auto.bazos.cz/inzerat/216242697/mazda-cx-5-20-najeto-56-tis-led-navi-awd-4x4-1-maj.php,mileage,,,56000,nuální - 6 rychlostí.- najeto 56 000 Km- možnost odpočtu DPH- zimní p,,,,,
93,https://auto.bazos.cz/inzerat/216235689/mazda-cx5-4wd-22-diesel.php,mileage,,,129000,"l
Prodám Mazdu sx5 2.2 diesel 129 kwNove oleje filtryPřední nápra",,,,,diesel
97,https://auto.bazos.cz/inzerat/216231053/mazda-tribute-23-110kw-44.php,mileage,,,110000,"Mazda Tribute 2.3 110kw 4×4
Prodám Mazda Tribute 2.3",,,2004,,
98,https://auto.bazos.cz/inzerat/216226367/mazda-6-gh-22-skyactiv.php,mileage,,,110000,"activ
Mazda 6rok 20172.2ccm / 110KWTažné na 1.600 Kgnajeto 220 t",,,,,
99,https://auto.bazos.cz/inzerat/216224718/mazda2.php,mileage,,,162000,"re ridice, mnoho novych dilu, 162tis najeto úsporný provoz",,,2004,,
100,https://auto.bazos.cz/inzerat/216222850/mazda-3-16-i.php,"year,mileage",2010," 3 , 1.6 i ( 77 kw ), r.v. 10/2010, najeto 229 tis.km ( servisní",77000,".6 i
Prodám Mazda 3 , 1.6 i ( 77 kw ), r.v. 10/2010, najeto 229 ",,,,,
105,https://auto.bazos.cz/inzerat/215652990/mazda-cx-5-20i-benzin-skyactiv-sky-blue-manual.php,mileage,,,158945,"X-5 2.0i SkyActiv Manuál2014, 158.945km, 121kw(165ps), 6st.manuálna p",,,,,benzín
107,https://auto.bazos.cz/inzerat/216214257/prodam-mazdu-323-kombi-rv-2000-15i.php,mileage,,,323000,"Prodám Mazdu 323 kombi, r.v. 2000, 15i
Auto je v",,,2000,,
108,https://auto.bazos.cz/inzerat/215912486/mazda-6-25-kombi-sports-line-rv092020-matrixnavi.php,year,2020," 2.5 KOMBI SPORTS LINE r.v.09/2020 MATRIX,NAVI
MAZDA 6 2.5 143kW",,,,,,81050,
109,https://auto.bazos.cz/inzerat/216209906/mazda-3.php,mileage,,,77000,"a 3, BK r.v. 2004, 1.6 benzin 77kw, najeto 290tis, STK, 4/27, 1",,,2004,,
111,https://auto.bazos.cz/inzerat/216208143/mx-5-18i-93-kw-miata-kabriolet-roadster.php,"year,mileage",2010,"abriolet Roadster,rok výr. 12/2010 (facelift) najeto 163.000 km ",163000,ýr. 12/2010 (facelift) najeto 163.000 km (servisní knížka) barva modrá,,,,,
113,https://auto.bazos.cz/inzerat/216206486/mazda-2-14i-111tkm.php,mileage,,,111000,"Mazda 2 1.4i 111tkm
Mazda 2 1.4i 55kw, rozvody ře",,,,,111tkm
117,https://auto.bazos.cz/inzerat/216203090/mazda-6-skyactiv.php,mileage,,,129000,"Mazda 6-Skyactiv
Mazda 6 2.2d 129kW naftaRok výroby: 2013Stav ta",,,2013,,
120,https://auto.bazos.cz/inzerat/216201889/mazda-6.php,mileage,,,299800,"14, 2.2 diesel, 110 kWNajeto: 299.800 kmAuto e servisovánoVubava:Bi-xe",,,2014,,diesel
121,https://auto.bazos.cz/inzerat/216201189/mazda-6-20-114-kw-90th-anniversary-facelift-benzin.php,mileage,,,153000,u od: 01.2011Stav tachometru: 153 000 kmPalivo: BenzínObjem motoru: 1 ,,,2011,,benzín
122,https://auto.bazos.cz/inzerat/216201166/mazda-6-25-125-kw-sports-line-gta-plus-benzin.php,mileage,,,188000,u od: 07.2010Stav tachometru: 188 000 kmPalivo: BenzínObjem motoru: 2 ,,,2010,,benzín
123,https://auto.bazos.cz/inzerat/216201129/mazda-6-20-108-kw-exclusive-benzin.php,mileage,,,144000,u od: 03.2009Stav tachometru: 144 000 kmPalivo: BenzínObjem motoru: 1 ,,,2009,,benzín
124,https://auto.bazos.cz/inzerat/216201053/mazda-6-20-108-kw-exclusive-benzin.php,mileage,,,185000,u od: 06.2008Stav tachometru: 185 000 kmPalivo: BenzínObjem motoru: 1 ,,,2008,,benzín
126,https://auto.bazos.cz/inzerat/216200945/mazda-6-20-108-kw-exclusive-sport-benzin.php,mileage,,,184000,u od: 03.2008Stav tachometru: 184 000 kmPalivo: BenzínObjem motoru: 1 ,,,2008,,benzín
127,https://auto.bazos.cz/inzerat/216200895/mazda-6-25-125-kw-dynamic-benzin.php,mileage,,,218000,u od: 05.2008Stav tachometru: 218 000 kmPalivo: BenzínObjem motoru: 2 ,,,2008,,benzín
128,https://auto.bazos.cz/inzerat/216200864/mazda-6-20-108-kw-exclusive-sport-benzin.php,mileage,,,240000,u od: 03.2009Stav tachometru: 240 000 kmPalivo: BenzínObjem motoru: 1 ,,,2009,,benzín
130,https://auto.bazos.cz/inzerat/216200773/mazda-5-20-110-kw-center-line-7-sedadel-benzin.php,mileage,,,211000,u od: 03.2011Stav tachometru: 211 000 kmPalivo: BenzínObjem motoru: 1 ,,,2011,,benzín
133,https://auto.bazos.cz/inzerat/216200706/mazda-5-20-107-kw-comfort-benzin.php,mileage,,,239000,u od: 01.2009Stav tachometru: 239 000 kmPalivo: BenzínObjem motoru: 1 ,,,2009,,benzín
134,https://auto.bazos.cz/inzerat/216200684/mazda-3-20-88-kw-center-line-148tkm-benzin.php,mileage,,,148000,u od: 06.2014Stav tachometru: 148 000 kmPalivo: BenzínObjem motoru: 1 ,,,2014,,benzín
135,https://auto.bazos.cz/inzerat/216200665/mazda-3-20-88-kw-rok-2015-170-000-km-benzin.php,mileage,,,170000,"AZDA 3 2.0 88 KW | ROK 2015 | 170 000 KM | - BENZÍN
MAZDA 3 2.0 88 KW ",,,2015,,benzín
136,https://auto.bazos.cz/inzerat/216200631/mazda-3-20-88-kw-sport-line-benzin.php,mileage,,,231000,u od: 03.2014Stav tachometru: 231 000 kmPalivo: BenzínObjem motoru: 1 ,,,2014,,benzín
137,https://auto.bazos.cz/inzerat/216200608/mazda-3-20-88-kw-sports-line-adaptivni-tempomat-benzin.php,mileage,,,246000,u od: 12.2013Stav tachometru: 246 000 kmPalivo: BenzínObjem motoru: 1 ,,,2013,,benzín
