id,url,scraped_title,scraped_description,extracted_year,extracted_mileage,extracted_fuel,extracted_power,current_year,current_mileage,current_fuel,current_power,extraction_improved
24,https://auto.bazos.cz/inzerat/215886633/mazda-6-25-skyactiv-g-141kw-2013-176211km-digklimarvm.php,"MAZDA 6 2.5 SKYACTIV-G 141kW-2013-176.211KM-DIG.KLIMA,RVM-","► PRODÁM ◄► MAZDA 6 GJ 2,5 SKYACTIV G 141kW AUTOMAT ve velmi zachovalém stavu, pravidelně servisované, po prvním majiteli, nekuřák• EDICE REVOLUTION✔ CARVERTICAL + CEBIA report k dispozici➡ VIN: na vyžádání📷 Odkaz na kompletní fotogalerii a servisní knihu zašlu na vyžádání► Technické údaje:Karoserie: kombiNajeto: 176.211 KMObjem: 2 488 ccmVýkon: 141 kWPalivo: benzínDatum první registrace: 08.10.2013STK platné do: 08/2027Barva: bílá perleťováPřevodovka: automatickáPlní EURO: EURO 5Dovoz z Německa...",2013,,,141,,,benzín,141,year
27,https://auto.bazos.cz/inzerat/214751451/mazda-6-wagon-20-skyactiv-121-kw.php,Mazda 6 Wagon 2.0 Skyactiv 121 kW,"◼︎ Mazda 6 Wagon 2.0 Skyactiv 121 kW08/2016 (Německo) | 141 209 km | Benzín | STK 07/2026VIN: JMZGJ697671359854 | Černá metalíza◼︎ VÝBAVA- Climatronic – 2zónová automatická klimatizace- Head-up display- Parkovací senzory vpředu i vzadu s parkovací kamerou- Vyhřívaná přední sedadla- Nezávislé topení Webasto- Prémiové ozvučení BOSE- Bezklíčový přístup KESSY- Bluetooth- Apple CarPlay, Android AutoPodrobný výpis výbavy naleznete na našem webu dalsiauto tečka cz◼︎ SERVISDruhá sada ALU disků se zimním...",,141209,benzín,121,,141209,benzín,121,NO
28,https://auto.bazos.cz/inzerat/215792550/mazda-cx-30-20-skyactiv-g-110kw-automat-2021-46388km-navi.php,MAZDA CX-30 2.0 SKYACTIV-G 110kW AUTOMAT-2021-46.388KM-NAVI-,"► PRODÁM ◄► MAZDA CX30, CX 30 2,0 SKYACTIV G 110kW A/T ve velmi zachovalém stavu, pravidelně servisované• NOVÉ PNEUMATIKY• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ.CARVERTICAL + CEBIA REPORT K DISPOZICI ✔➡ VIN: na vyžádání►Technické údaje:Karoserie: SUVNajeto: 46.388 KMObjem: 1 998 ccmVýkon: 110 kWPalivo: benzínPohon: předních kolDatum první registrace: 25.06.2021STK platné do: 02/2028Barva: šedá met.Převodovka: automatickáPlní EURO: EURO 6Dovoz z NěmeckaServisní kniha: an...",2021,,,110,,,benzín,110,year
29,https://auto.bazos.cz/inzerat/215792320/mazda-6-20-skyactiv-g-121kw-2014-122555km-acvyhrevpdc.php,"MAZDA 6 2.0 SKYACTIV-G 121kW-2014-122.555KM-AC,VÝHŘEV,PDC-","► PRODÁM ◄► MAZDA 6 GJ 2,0 SKYACTIV G 121kW ve velmi zachovalém stavu, pravidelně servisované výhradně u autorizovaného dealera Mazda, po prvním majiteli, nekuřák• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍCARVERTICAL + CEBIA REPORT K DISPOZICI ✔NEHAVAROVANÉ ✔➡ VIN: na vyžádání► Technické údaje:Karoserie: kombiNajeto: 122.555 KMObjem: 1 998 ccmVýkon: 121 kWPalivo: benzínDatum první registrace: 21.02.2014STK platné do: 01/2028Barva: modrá met.Převodovka: manuálníPlní EURO: EU...",2014,,,121,,,benzín,121,year
30,https://auto.bazos.cz/inzerat/215754301/mazda-cx-5-20-skyactiv-g-121kw-2015-116107km-navivyhrev.php,"MAZDA CX-5 2.0 SKYACTIV-G 121kW-2015-116.107KM-NAVI,VÝHŘEV-","► PRODÁM ◄► MAZDA CX5, CX 5 FACELIFT 2,0 SKYACTIV G 121kW ve velmi zachovalém stavu, pravidelně servisované• LETNÍ SADA R17 + ZIMNÍ SADA R17• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ.CARVERTICAL + CEBIA REPORT K DISPOZICI ✔➡ VIN: na vyžádání►Technické údaje:Karoserie: SUVNajeto: 116.107 KMObjem: 1 998 ccmVýkon: 121 kWPalivo: benzínPohon: předních kolDatum první registrace: 29.06.2015STK platné do: 02/2028Barva: červená met.Převodovka: manuálníPlní EURO: EURO 6Dovoz z Němec...",2015,,,121,,,benzín,121,year
31,https://auto.bazos.cz/inzerat/215791717/mazda-cx-5-20-skyactiv-g-121kw-2016-107410km-navivyhrev.php,"MAZDA CX-5 2.0 SKYACTIV-G 121kW-2016-107.410KM-NAVI,VÝHŘEV-","► PRODÁM ◄► MAZDA CX5, CX 5 FACELIFT 2,0 SKYACTIV G 121kW ve velmi zachovalém stavu, pravidelně servisované u aut. dealera Mazda• LETNÍ SADA R17 + ZIMNÍ SADA R17• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ.CARVERTICAL + CEBIA REPORT K DISPOZICI ✔NEHAVAROVANÉ ✔➡ VIN: na vyžádání►Technické údaje:Karoserie: SUVNajeto: 107.410 KMObjem: 1 998 ccmVýkon: 121 kWPalivo: benzínPohon: předních kolDatum první registrace: 15.03.2016STK platné do: 01/2028Barva: šedá met.Převodovka: manuál...",2016,,,121,,,benzín,121,year
32,https://auto.bazos.cz/inzerat/215747664/mazda-cx-5-20-skyactiv-g-121kw-2015-72500km-navivyhrev.php,"MAZDA CX-5 2.0 SKYACTIV-G 121kW-2015-72.500KM-NAVI,VÝHŘEV-","► PRODÁM ◄► MAZDA CX5, CX 5 FACELIFT 2,0 SKYACTIV G 121kW ve velmi zachovalém stavu, pravidelně servisované výlučně u autorizovaného dealera Mazda• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ.CARVERTICAL + CEBIA REPORT K DISPOZICI ✔NEHAVAROVANÉ ✔➡ VIN: na vyžádání►Technické údaje:Karoserie: SUVNajeto: 72.500 KMObjem: 1 998 ccmVýkon: 121 kWPalivo: benzínPohon: předních kolDatum první registrace: 16.10.2015STK platné do: 03/2028Barva: černá met.Převodovka: manuálníPlní EURO: EU...",2015,,,121,,,benzín,121,year
33,https://auto.bazos.cz/inzerat/215876294/mazda-6-20-disi-114kw-2010-224885km-klimaelokna.php,"MAZDA 6 2.0 DISI 114kW-2010-224.885KM-KLIMA,EL.OKNA-","► PRODÁM ◄► MAZDA 6 GH FACELIFT 2,0 DISI 114kW ve velmi zachovalém stavu• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ• LETNÍ + ZIMNÍ SADA KOLCARVERTICAL + CEBIA REPORT K DISPOZICI ✔NEHAVAROVANÉ ✔➡ VIN: na vyžádání► Technické údaje:Karoserie: kombiNajeto: 224.885 KMObjem: 1 999 ccmVýkon: 114 kWPalivo: benzínDatum první registrace: 30.08.2010STK platné do: 02/2028Barva: šedá met.Převodovka: manuálníPlní EURO: EURO 5Dovoz z NěmeckaServisní kniha: anoKlimatizace: ano► Cena: 129.0...",2010,,,114,,,benzín,114,year
34,https://auto.bazos.cz/inzerat/214678036/mazda-cx-5-22-diesel-4x4skyactivenavivyhrev.php,Mazda CX-5 2.2 Diesel 4x4 GO motoru,"Prodám Mazda CX-5, 2.2 diesel, 110 Kw, 4x4, manuální převodovka, skyactive, uvedení do provozu 3/2015Najeto 243 tis kmVozidlo po GO motoru !!!!!!Nové olejové čerpadloNové rozvodyRepasované Turbo Rema TurboNové vstřikovačeNové náplněNové zimní pneumatikyNová STKNové BrzdyOdborně vyčištěné DPFCelkový servis za cca 150 tisícFaktury za opravu + záruka na díly !!!!!Bohatá výbava, např. el. okna, zrcátka, vyhřívané přední sedačky, klimatizace, parkovací senzory vpředu - vzadu, senzor tlaku v pneumatik...",2015,,diesel,110,,,diesel,110,year
35,https://auto.bazos.cz/inzerat/216115685/mazda-cx-3-20-88-kw.php,Mazda CX-3 2.0 88 kW,"Mazda CX-3 2.0 88 kW Skyactiv-G, Revolution - benzín, AKČNÍ CENA NA ÚVĚR 289999Kč, manuální převodovka, pohon kol: přední, do provozu: 28.6.2018, přihlášeno v ČR, najeto: 100567 km, STK + EMISE do: 7/2026, navigace, klimatizace, tempomat, NOVÉ PŘEDNÍ BRZDY.VýbavaLitá kolaMultifunkční volantNavigaceBluetoothCentrální zamykání na dálkové ovládáníAutomatická klimatizaceKožený volantZadní stěračISOFIX na zadních sedadlechZadní el. stahovatelná oknaPřední el. stahovatelná oknaElektricky nastavitelná ...",2018,100567,benzín,88,,100567,benzín,88,year
37,https://auto.bazos.cz/inzerat/215867201/mazda-6-kombi-gl-fl-25-skyactiv-g-143kw-krasavice.php,MAZDA 6 KOMBI GL FL 2.5 Skyactiv-G 143kw +++KRASAVICE+++,"Nově v nabídce:MAZDA 6 KOMBI GL FL 2.5 Skyactiv-G 143kw (G192) Sports-Linerok 2018 (říjen)najeto 120tis.km (doložitelné a se zárukou)Barva: Snowflake White PearlVýbava: 6x airbag, ABS, DSC (stabilizační systém), SCBS (antikolizní systém), automatická převodovka s možností řazení pádly pod volantem + režim Sport, MATRIX LED světla + LED denní svícení, LED zadní světla, automatické přepínání dálkových světel, hlídání mrtvého úhlu, hlídání jízdních pruhů, parkovací senzory vpředu-vzadu + 360° KAMER...",2018,,,143,,,,143,year
38,https://auto.bazos.cz/inzerat/215867393/mazda-cx-30-20-skyactiv-g122-jen-14tiskm-zaruka-do-2030.php,"Mazda CX-30 2.0 Skyactiv-G122, jen 14tis.km +ZÁRUKA DO 2030","Nově v nabídce:MAZDA CX30 2.0 Skyactiv-G 90kwHOMURArok 2024 (březen)najeto JEN 14tis.km (doložitelné a se zárukou)Barva: atraktivní Platinum Quartz METALLICBohatá výbava: 7x airbag, ABS, TCS (kontrola trakce), SCBS (antikolizní systém), GVC (G-Vectoring Control), manuální šestistupňová převodovka, LED světlomety, LED denní svícení, LED zadní světla, automatické přepínání dálkových světel, parkovací senzory vpředu-vzadu + KAMERA, HEAD-UP display (projekční), dvouzónová digitální klimatizace, adap...",2024,,,,2024,,,90,NO
