id,url,current_year,current_mileage,current_fuel,current_power
85,https://auto.bazos.cz/inzerat/215692464/mazda-3-sedan-20-skyactiv-g-132-kw.php,,,benzín,132
87,https://auto.bazos.cz/inzerat/215690528/mazda-6-gh-22-136-kw.php,,,Naftový,136
88,https://auto.bazos.cz/inzerat/215683137/prodam-mazdu-cx-9-37i-awd-2015.php,2015,,,204
89,https://auto.bazos.cz/inzerat/216242697/mazda-cx-5-20-najeto-56-tis-led-navi-awd-4x4-1-maj.php,,56000,benzín,121
90,https://auto.bazos.cz/inzerat/216242698/mazda-3.php,2005,,diesel,
93,https://auto.bazos.cz/inzerat/216235689/mazda-cx5-4wd-22-diesel.php,,,diesel,129
95,https://auto.bazos.cz/inzerat/216234525/mazda-6.php,2009,,diesel,
97,https://auto.bazos.cz/inzerat/216231053/mazda-tribute-23-110kw-44.php,2004,,,110
98,https://auto.bazos.cz/inzerat/216226367/mazda-6-gh-22-skyactiv.php,,,,110
99,https://auto.bazos.cz/inzerat/216224718/mazda2.php,2004,,,
100,https://auto.bazos.cz/inzerat/216222850/mazda-3-16-i.php,,,,77
105,https://auto.bazos.cz/inzerat/215652990/mazda-cx-5-20i-benzin-skyactiv-sky-blue-manual.php,,,benzín,121
107,https://auto.bazos.cz/inzerat/216214257/prodam-mazdu-323-kombi-rv-2000-15i.php,2000,,,
108,https://auto.bazos.cz/inzerat/215912486/mazda-6-25-kombi-sports-line-rv092020-matrixnavi.php,,81050,,143
109,https://auto.bazos.cz/inzerat/216209906/mazda-3.php,2004,,,77
110,https://auto.bazos.cz/inzerat/216208352/mazda-6.php,2012,,diesel,
111,https://auto.bazos.cz/inzerat/216208143/mx-5-18i-93-kw-miata-kabriolet-roadster.php,,,,93
113,https://auto.bazos.cz/inzerat/216206486/mazda-2-14i-111tkm.php,,111000,,55
114,https://auto.bazos.cz/inzerat/216206149/mazda-6-20-121kw-skyactiv-kuzexenonynavialu19topstav.php,,179000,benzín,121
117,https://auto.bazos.cz/inzerat/216203090/mazda-6-skyactiv.php,2013,,,129
119,https://auto.bazos.cz/inzerat/216202486/mazda-cx-5-25i-revolution-automat.php,,95000,benzín,143
120,https://auto.bazos.cz/inzerat/216201889/mazda-6.php,2014,,diesel,110
121,https://auto.bazos.cz/inzerat/216201189/mazda-6-20-114-kw-90th-anniversary-facelift-benzin.php,,153000,benzín,114
122,https://auto.bazos.cz/inzerat/216201166/mazda-6-25-125-kw-sports-line-gta-plus-benzin.php,,188000,benzín,125
123,https://auto.bazos.cz/inzerat/216201129/mazda-6-20-108-kw-exclusive-benzin.php,,144000,benzín,108
124,https://auto.bazos.cz/inzerat/216201053/mazda-6-20-108-kw-exclusive-benzin.php,,185000,benzín,108
125,https://auto.bazos.cz/inzerat/216201009/mazda-6-20-108-kw-exclusive-134-000-km-benzin.php,,134000,benzín,108
126,https://auto.bazos.cz/inzerat/216200945/mazda-6-20-108-kw-exclusive-sport-benzin.php,,184000,benzín,108
127,https://auto.bazos.cz/inzerat/216200895/mazda-6-25-125-kw-dynamic-benzin.php,,218000,benzín,125
128,https://auto.bazos.cz/inzerat/216200864/mazda-6-20-108-kw-exclusive-sport-benzin.php,,240000,benzín,108
130,https://auto.bazos.cz/inzerat/216200773/mazda-5-20-110-kw-center-line-7-sedadel-benzin.php,,211000,benzín,110
